id;name;description;start_date;end_date;agenda;agenda_content_type;location_id
1;Automotive Regional Unbranded Granite Shirt;transmitter;2020-05-10;2020-05-10;../fake-data/blob/hipster.png;image/png;1
2;Games Dynamic;bypass Michigan enable;2020-05-10;2020-05-10;../fake-data/blob/hipster.png;image/png;2
3;Cloned protocol Zloty;Licensed Granite Shirt Russian Federation Grocery;2020-05-10;2020-05-10;../fake-data/blob/hipster.png;image/png;3
4;circuit Ridge Gibraltar Pound;e-business;2020-05-10;2020-05-10;../fake-data/blob/hipster.png;image/png;4
5;Engineer;Uzbekistan Sum Berkshire;2020-05-10;2020-05-09;../fake-data/blob/hipster.png;image/png;5
6;architecture digital Tugrik;Ergonomic Metal Pants;2020-05-09;2020-05-10;../fake-data/blob/hipster.png;image/png;6
7;Unbranded;generate Avon;2020-05-09;2020-05-10;../fake-data/blob/hipster.png;image/png;7
8;Home Avon dot-com;Enterprise-wide;2020-05-10;2020-05-09;../fake-data/blob/hipster.png;image/png;8
9;Berkshire;synergy;2020-05-09;2020-05-10;../fake-data/blob/hipster.png;image/png;9
10;Multi-tiered incentivize;cross-platform Dobra;2020-05-09;2020-05-09;../fake-data/blob/hipster.png;image/png;10
