id;name;type;longitude;latitude;rating
1;Secured productize;RESTAURANT;76819;65329;73788
2;Mauritius Rupee;RESTAURANT;43326;79161;60283
3;cross-platform;RESTAURANT;37489;89858;71854
4;generating Liaison Chief;HOTEL;76312;39365;33828
5;Secured virtual District;HOTEL;17124;7461;12080
6;stable 24 hour;HOTEL;87260;57997;14430
7;sky blue;HOTEL;8536;78423;68807
8;auxiliary parsing generate;OFFICE;4833;81795;86244
9;extend Fully-configurable e-services;OFFICE;6246;34461;85346
10;Money Market Account;OFFICE;64615;90004;97414
